Time(s)	Displ(microns)	Friction	EffectiveNormalstress(MPa)
11093.154000	3515.946000	0.498358	29.986167
11093.290000	3516.371000	0.497466	29.985459
11093.426000	3516.290000	0.497733	29.985352
11093.572000	3516.553000	0.497326	29.985941
11093.698000	3516.735000	0.498416	29.986286
11093.834000	3517.221000	0.498050	29.987647
11093.970000	3517.322000	0.498022	29.986175
11094.096000	3517.504000	0.497968	29.987018
11094.232000	3517.848000	0.498710	29.985775
11094.368000	3517.706000	0.498190	29.987197
11094.504000	3518.050000	0.498500	29.986799
11094.660000	3518.758000	0.498435	29.987146
11094.796000	3518.941000	0.498355	29.986389
11094.952000	3519.204000	0.498350	29.985692
11095.088000	3519.669000	0.498362	29.985060
11095.234000	3519.750000	0.498764	29.986763
11095.360000	3520.033000	0.498410	29.986554
11095.496000	3520.721000	0.498408	29.986759
11095.632000	3520.721000	0.498358	29.986510
11095.788000	3520.883000	0.498788	29.987803
11095.914000	3521.187000	0.498799	29.990179
11096.040000	3521.389000	0.498857	29.990206
11096.196000	3521.956000	0.499059	29.990563
11096.352000	3521.693000	0.499016	29.991794
11096.478000	3522.280000	0.498984	29.993464
11096.614000	3522.543000	0.498902	29.995740
11096.750000	3522.624000	0.499275	29.995978
11096.886000	3523.170000	0.498144	29.993944
11097.022000	3523.392000	0.498748	29.995873
11097.158000	3523.635000	0.498515	29.995325
11097.294000	3523.878000	0.499378	29.993734
11097.440000	3524.101000	0.499210	29.994685
11097.576000	3524.242000	0.499464	29.995241
11097.702000	3524.465000	0.499548	29.993021
11097.848000	3524.829000	0.499261	29.994203
11097.974000	3524.789000	0.499448	29.995304
11098.110000	3525.416000	0.499843	29.997294
11098.236000	3525.335000	0.499070	29.998179
11098.372000	3525.801000	0.499134	29.997751
11098.508000	3525.942000	0.499188	29.994946
11098.644000	3526.084000	0.499526	29.995885
11098.780000	3526.327000	0.499399	29.995468
11098.916000	3526.549000	0.499265	29.993554
11099.052000	3526.711000	0.499476	29.993282
11099.188000	3527.116000	0.499593	29.993028
11099.324000	3527.258000	0.499842	29.992833
11099.450000	3527.541000	0.498840	29.994728
11099.586000	3527.925000	0.499252	29.994952
