Time(s)	Displ(microns)	Friction	Effective_Normal_stress(MPa)
20086.207000	5753.577000	0.455250	30.004552
20086.343000	5753.253000	0.454816	30.005623
20086.479000	5753.921000	0.454125	30.007328
20086.615000	5753.779000	0.454114	30.007879
20086.751000	5753.982000	0.453679	30.004815
20086.907000	5753.820000	0.454109	30.005077
20087.033000	5753.678000	0.453985	30.005687
20087.169000	5754.103000	0.453449	30.007043
20087.305000	5754.043000	0.454225	30.007964
20087.431000	5753.860000	0.454430	30.004959
20087.567000	5753.901000	0.454498	30.003296
20087.693000	5754.204000	0.454526	30.004913
20087.829000	5754.083000	0.453994	30.007204
20087.965000	5754.103000	0.453398	30.011907
20088.101000	5754.083000	0.454217	30.012574
20088.247000	5754.144000	0.454260	30.011269
20088.373000	5754.225000	0.453789	30.013255
20088.509000	5754.164000	0.454091	30.015371
20088.655000	5754.528000	0.453813	30.016055
20088.811000	5754.144000	0.453774	30.015006
20088.957000	5754.366000	0.453672	30.012192
20089.083000	5754.528000	0.453851	30.009551
20089.219000	5754.285000	0.454015	30.009727
20089.355000	5754.326000	0.453591	30.008065
20089.491000	5754.548000	0.453050	30.006569
20089.627000	5754.447000	0.453607	30.005935
20089.763000	5754.467000	0.454360	30.004957
20089.929000	5754.629000	0.453599	30.004179
20090.055000	5754.427000	0.454410	30.002165
20090.191000	5754.548000	0.454567	29.997799
20090.317000	5754.407000	0.454460	29.997399
20090.463000	5754.690000	0.453975	29.995013
20090.599000	5754.609000	0.453935	29.994130
20090.725000	5754.710000	0.454332	29.994145
20090.851000	5754.528000	0.454502	29.992141
20090.987000	5754.913000	0.454334	29.994127
20091.113000	5754.569000	0.454183	29.996202
20091.249000	5754.852000	0.454338	29.998086
20091.395000	5755.317000	0.454160	29.999532
20091.531000	5754.933000	0.454313	30.002418
20091.657000	5754.650000	0.453853	30.003808
20091.793000	5754.670000	0.453147	30.008205
20091.929000	5754.751000	0.453254	30.008482
20092.065000	5755.176000	0.453459	30.007544
20092.201000	5755.236000	0.453732	30.009059
20092.347000	5755.155000	0.453884	30.009979
20092.473000	5755.054000	0.453838	30.008347
20092.599000	5755.115000	0.454319	30.008875
20092.735000	5755.075000	0.453783	30.009214
20092.871000	5755.135000	0.453746	30.010238
20093.007000	5755.014000	0.453947	30.009626
20093.153000	5755.034000	0.454153	30.007724
20093.289000	5755.257000	0.453985	30.006608
20093.415000	5754.913000	0.454125	30.006169
20093.551000	5754.933000	0.454245	30.008955
20093.687000	5755.176000	0.453273	30.005379
20093.823000	5755.317000	0.454504	30.004242
20093.959000	5755.317000	0.453485	30.003224
20094.095000	5755.378000	0.453581	30.004079
20094.231000	5755.277000	0.453610	30.001472
20094.367000	5755.317000	0.453634	30.003214
20094.503000	5755.115000	0.454053	30.000947
20094.649000	5755.297000	0.454005	30.001467
20094.785000	5755.277000	0.454142	30.000123
20094.931000	5755.459000	0.454282	30.000732
20095.057000	5755.682000	0.454015	30.000829
20095.183000	5755.135000	0.454535	30.000235
20095.309000	5755.864000	0.453975	29.997872
20095.445000	5755.277000	0.454328	29.998302
20095.581000	5755.580000	0.453986	29.997537
20095.717000	5755.601000	0.454642	29.999980
20095.863000	5755.398000	0.453465	30.002406
20095.989000	5755.702000	0.453782	30.003784
20096.115000	5755.560000	0.453990	30.004956
20096.251000	5755.499000	0.452540	30.008915
20096.407000	5755.661000	0.454209	30.009548
20096.533000	5755.945000	0.453635	30.010947
20096.669000	5755.864000	0.453730	30.010864
20096.805000	5755.803000	0.453833	30.010389
20096.931000	5755.884000	0.453202	30.010770
20097.067000	5756.147000	0.453280	30.011573
20097.203000	5755.722000	0.454006	30.012099
20097.339000	5755.864000	0.453488	30.011447
20097.475000	5755.843000	0.453130	30.010326
20097.611000	5755.884000	0.454197	30.007790
20097.747000	5755.823000	0.454018	30.005217
20097.903000	5756.107000	0.454188	30.003221
20098.029000	5756.187000	0.454185	30.003453
20098.165000	5756.268000	0.454345	29.996818
20098.301000	5755.904000	0.453771	29.995261
20098.437000	5756.127000	0.454955	29.995701
20098.563000	5756.147000	0.454103	29.994836
20098.689000	5756.187000	0.454541	29.997730
20098.835000	5756.370000	0.453931	29.999059
20098.961000	5756.390000	0.454295	29.997760
20099.097000	5756.430000	0.455001	29.998372
20099.233000	5756.430000	0.453848	29.998407
20099.369000	5756.592000	0.453972	29.996783
20099.505000	5756.309000	0.453949	29.996969
20099.651000	5756.633000	0.454063	29.994814
20099.777000	5756.268000	0.454891	29.992850
20099.913000	5756.774000	0.454429	29.992314
20100.049000	5756.451000	0.455022	29.991897
20100.175000	5756.370000	0.454430	29.992148
20100.301000	5756.734000	0.454060	29.990642
20100.427000	5756.248000	0.453956	29.990034
20100.553000	5756.835000	0.454538	29.990116
20100.709000	5756.896000	0.454943	29.989629
20100.845000	5756.774000	0.454985	29.989377
20100.971000	5756.835000	0.454392	29.989780
20101.097000	5756.754000	0.454308	29.991298
20101.233000	5756.572000	0.453750	29.992898
20101.359000	5757.017000	0.453801	29.994351
20101.495000	5756.916000	0.454154	29.995879
20101.641000	5756.876000	0.454079	29.998038
20101.767000	5756.653000	0.453886	29.999338
20101.903000	5756.916000	0.454435	30.000264
20102.029000	5756.855000	0.453748	29.999594
20102.175000	5756.896000	0.453981	29.997076
20102.301000	5757.199000	0.453869	29.997829
20102.437000	5757.220000	0.453298	29.997849
20102.573000	5756.896000	0.453681	29.997341
20102.709000	5756.956000	0.453694	29.996380
20102.845000	5757.139000	0.453739	29.995735
20102.981000	5757.179000	0.453828	29.997942
20103.117000	5757.220000	0.454446	29.998119
20103.253000	5757.179000	0.454149	29.998920
20103.399000	5757.058000	0.453642	29.997829
20103.535000	5757.199000	0.453794	29.997931
20103.671000	5757.058000	0.454401	29.996961
20103.797000	5757.098000	0.454537	29.996031
20103.933000	5757.159000	0.454278	29.996053
20104.059000	5757.037000	0.454000	29.997104
20104.195000	5757.159000	0.454250	29.995018
20104.331000	5757.402000	0.453444	29.997019
20104.467000	5757.402000	0.454153	29.999751
20104.613000	5757.442000	0.454078	30.001857
20104.739000	5757.564000	0.454121	30.002669
20104.875000	5757.483000	0.453493	30.008120
20105.011000	5757.462000	0.454022	30.009096
20105.147000	5757.442000	0.453930	30.010962
20105.283000	5757.766000	0.453168	30.008133
20105.419000	5757.584000	0.453484	30.007242
20105.555000	5757.847000	0.454066	30.007360
20105.691000	5757.806000	0.454441	30.006376
20105.817000	5757.402000	0.454322	30.004506
20105.953000	5757.867000	0.454890	30.002273
20106.089000	5757.948000	0.455138	30.002062
20106.225000	5758.049000	0.453796	30.003130
20106.361000	5758.029000	0.453920	30.005610
20106.497000	5757.644000	0.454300	30.005466
20106.673000	5757.887000	0.454166	30.004513
20106.809000	5758.110000	0.454013	30.004665
20106.945000	5757.988000	0.454428	30.004696
20107.081000	5758.029000	0.454335	30.002578
20107.207000	5757.584000	0.453751	30.001559
20107.343000	5758.029000	0.454277	29.998669
20107.479000	5757.867000	0.454267	29.997167
20107.615000	5758.110000	0.453887	29.997310
20107.761000	5758.049000	0.454470	29.996408
20107.897000	5758.049000	0.454876	29.992735
20108.023000	5758.049000	0.453983	29.992918
20108.169000	5758.069000	0.454572	29.993709
20108.295000	5758.090000	0.455117	29.993785
20108.431000	5758.150000	0.454709	29.993284
20108.567000	5758.231000	0.454271	29.994416
20108.713000	5758.069000	0.454243	29.993865
20108.839000	5758.171000	0.454702	29.993599
20108.965000	5758.596000	0.454368	29.993239
20109.091000	5758.312000	0.454210	29.992587
20109.217000	5758.413000	0.454287	29.992538
20109.343000	5758.130000	0.454210	29.993667
20109.479000	5758.636000	0.454249	29.992586
20109.605000	5758.373000	0.454287	29.992605
20109.741000	5758.575000	0.453486	29.992935
20109.887000	5758.555000	0.453653	29.996116
20110.023000	5758.413000	0.455331	29.993134
20110.149000	5758.494000	0.455050	29.992973
20110.285000	5758.555000	0.453888	29.999678
20110.421000	5758.575000	0.453873	30.001470
20110.547000	5758.494000	0.453891	30.001492
20110.683000	5758.656000	0.454581	30.002014
20110.819000	5758.596000	0.454075	30.001875
20110.955000	5758.656000	0.453830	30.002987
20111.091000	5758.697000	0.454201	30.007529
20111.227000	5758.757000	0.453995	30.006493
20111.363000	5758.697000	0.453569	30.004028
20111.509000	5758.919000	0.454358	30.006285
20111.645000	5758.515000	0.453664	30.008089
20111.771000	5758.919000	0.454255	30.008862
20111.907000	5758.697000	0.454811	30.009410
20112.053000	5758.838000	0.454137	30.007966
20112.179000	5759.081000	0.454323	30.010066
20112.305000	5759.101000	0.453450	30.010210
20112.431000	5759.182000	0.453736	30.011040
20112.557000	5758.798000	0.455027	30.009544
20112.683000	5758.960000	0.454317	30.007051
20112.819000	5759.041000	0.454264	30.007775
20112.945000	5758.940000	0.454569	30.007592
20113.081000	5759.101000	0.453844	30.007962
20113.217000	5759.223000	0.453691	30.007031
20113.363000	5759.324000	0.454528	30.006664
20113.489000	5759.263000	0.454559	30.006005
20113.645000	5759.304000	0.454058	30.006535
20113.771000	5759.081000	0.454581	30.004747
20113.917000	5759.547000	0.454598	30.003822
20114.043000	5759.142000	0.453895	30.001936
20114.179000	5759.405000	0.454341	29.999310
20114.305000	5759.526000	0.454666	29.996088
20114.441000	5759.162000	0.454882	29.994755
20114.577000	5759.506000	0.454269	29.993320
20114.713000	5759.526000	0.454430	29.993999
20114.859000	5759.263000	0.454866	29.993068
20114.985000	5759.810000	0.454173	29.993931
20115.121000	5759.729000	0.454210	29.996210
20115.247000	5759.506000	0.454998	29.997661
20115.393000	5759.830000	0.454413	30.001853
20115.519000	5759.445000	0.455036	30.003913
20115.665000	5759.749000	0.454276	30.003076
20115.791000	5759.526000	0.454330	30.004211
20115.947000	5759.789000	0.454701	30.003435
20116.073000	5759.688000	0.454509	30.000462
20116.209000	5759.688000	0.454651	29.997706
20116.335000	5759.810000	0.454877	29.995623
20116.471000	5759.709000	0.454823	29.991376
20116.607000	5759.911000	0.454800	29.989533
20116.733000	5759.931000	0.454784	29.987385
20116.889000	5760.295000	0.454313	29.984359
20117.025000	5759.911000	0.454074	29.985131
20117.151000	5760.154000	0.454757	29.986150
20117.277000	5759.992000	0.454688	29.988932
20117.413000	5760.093000	0.454724	29.990116
20117.549000	5759.972000	0.454999	29.992646
20117.685000	5760.174000	0.454278	29.996911
20117.821000	5760.012000	0.454584	29.998686
20117.957000	5759.992000	0.454851	29.998468
20118.093000	5760.053000	0.454488	29.996592
20118.229000	5760.255000	0.454843	29.996637
20118.365000	5760.012000	0.454548	29.995087
20118.491000	5760.174000	0.454637	29.994235
20118.637000	5760.336000	0.454722	29.994695
20118.763000	5760.032000	0.454241	29.992060
20118.899000	5760.073000	0.454578	29.992206
20119.035000	5760.316000	0.454762	29.992490
20119.171000	5760.295000	0.454574	29.992483
20119.317000	5760.336000	0.454357	29.991982
20119.443000	5760.275000	0.454922	29.992092
20119.579000	5760.518000	0.454747	29.992371
20119.715000	5760.558000	0.455252	29.991648
20119.851000	5760.477000	0.454153	29.991897
20119.987000	5760.660000	0.454542	29.991361
20120.143000	5760.599000	0.454243	29.992261
20120.279000	5760.781000	0.454198	29.992656
20120.425000	5760.761000	0.454686	29.992883
20120.561000	5760.720000	0.455136	29.994092
20120.697000	5761.064000	0.453939	29.994469
20120.833000	5760.417000	0.454480	29.994776
20120.979000	5760.417000	0.454487	29.995377
20121.115000	5760.821000	0.454105	29.994492
20121.241000	5760.821000	0.455136	29.993729
20121.387000	5760.538000	0.454276	29.991143
20121.543000	5760.457000	0.454109	29.989882
20121.679000	5760.963000	0.454020	29.990548
20121.815000	5760.639000	0.454660	29.988577
20121.951000	5761.064000	0.453980	29.991580
20122.097000	5760.801000	0.453945	29.992555
20122.243000	5760.741000	0.454132	29.993717
20122.389000	5761.105000	0.454202	29.996059
20122.535000	5760.761000	0.453640	29.996846
20122.671000	5761.145000	0.454136	29.995619
20122.807000	5760.862000	0.454597	29.997230
20122.943000	5760.741000	0.454028	29.996302
20123.079000	5761.206000	0.454099	29.995474
20123.225000	5761.287000	0.454488	29.996889
20123.351000	5761.145000	0.454076	29.997789
20123.487000	5761.186000	0.454251	29.999655
20123.633000	5761.368000	0.454506	30.002290
20123.759000	5761.085000	0.453235	30.008937
20123.895000	5761.246000	0.453807	30.010871
20124.021000	5761.631000	0.453691	30.012105
20124.167000	5761.145000	0.453384	30.010366
20124.303000	5761.327000	0.453803	30.009259
20124.429000	5761.004000	0.454577	30.007262
20124.565000	5761.226000	0.453962	30.002712
20124.701000	5761.854000	0.454354	30.000892
20124.837000	5761.550000	0.453789	29.997613
20124.973000	5761.631000	0.454117	29.996147
20125.109000	5761.469000	0.454524	29.996549
20125.255000	5761.267000	0.454285	29.995144
20125.391000	5761.530000	0.454049	29.993586
20125.517000	5761.429000	0.454125	29.994559
20125.663000	5761.105000	0.454140	29.993734
20125.789000	5761.267000	0.455050	29.994620
20125.925000	5761.611000	0.454411	29.993463
20126.051000	5761.833000	0.454816	29.993122
20126.197000	5761.732000	0.453928	29.996293
20126.333000	5761.934000	0.454245	29.998647
20126.479000	5762.015000	0.453663	30.003666
20126.615000	5761.854000	0.453847	30.006046
20126.761000	5761.934000	0.453930	30.007673
20126.897000	5761.995000	0.453579	30.009225
20127.023000	5761.934000	0.454376	30.008976
20127.159000	5761.712000	0.454299	30.007954
20127.285000	5761.914000	0.454002	30.006537
20127.411000	5762.056000	0.454000	30.006446
20127.537000	5762.096000	0.453573	30.006898
20127.673000	5761.732000	0.454060	30.003981
20127.809000	5761.854000	0.454661	30.004116
20127.945000	5762.096000	0.454256	30.002544
20128.081000	5761.995000	0.454320	30.003150
20128.217000	5761.914000	0.454034	30.003333
20128.353000	5762.036000	0.454475	30.002029
20128.489000	5762.258000	0.454210	30.001126
20128.665000	5762.319000	0.455035	30.001393
20128.821000	5762.319000	0.454191	30.001141
20128.977000	5762.258000	0.454145	30.001655
20129.113000	5762.198000	0.454163	30.000653
20129.249000	5762.380000	0.454957	29.998526
