Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11607.700000	8503.602000	0.607016	19.969273
11607.800000	8503.847000	0.607142	19.969590
11607.900000	8504.213000	0.607971	19.969156
11608.000000	8504.450000	0.607024	19.969500
11608.100000	8504.783000	0.606894	19.968831
11608.200000	8505.075000	0.606867	19.969492
11608.300000	8505.370000	0.607193	19.968445
11608.400000	8505.677000	0.605771	19.968823
11608.500000	8506.053000	0.606595	19.969508
11608.600000	8506.213000	0.606734	19.968829
11608.700000	8506.563000	0.606780	19.969130
11608.800000	8506.895000	0.606041	19.968534
11608.900000	8507.172000	0.606874	19.969819
11609.000000	8507.473000	0.607619	19.969043
11609.100000	8507.759000	0.607094	19.969058
11609.200000	8508.042000	0.607007	19.969215
11609.300000	8508.386000	0.608518	19.969127
11609.400000	8508.691000	0.608093	19.968984
11609.500000	8508.948000	0.607688	19.969408
11609.600000	8509.321000	0.608357	19.969343
11609.700000	8509.552000	0.607755	19.969509
11609.800000	8509.853000	0.608753	19.969200
11609.900000	8510.178000	0.607436	19.968883
11610.000000	8510.509000	0.607254	19.969448
11610.100000	8510.793000	0.606509	19.968440
11610.200000	8511.055000	0.607898	19.969732
11610.300000	8511.403000	0.606691	19.969083
11610.400000	8511.674000	0.607420	19.969139
11610.500000	8511.952000	0.606456	19.968686
11610.600000	8512.282000	0.606854	19.969763
11610.700000	8512.579000	0.607056	19.969039
11610.800000	8512.934000	0.606613	19.969217
11610.900000	8513.160000	0.605646	19.969254
11611.000000	8513.435000	0.606364	19.968673
11611.100000	8513.802000	0.606980	19.969319
11611.200000	8514.100000	0.607217	19.969320
11611.300000	8514.410000	0.606094	19.969406
11611.400000	8514.673000	0.604948	19.969069
11611.500000	8514.942000	0.606996	19.969104
11611.600000	8515.255000	0.607585	19.969222
11611.700000	8515.567000	0.608447	19.969551
11611.800000	8515.885000	0.607508	19.969055
11611.900000	8516.157000	0.608589	19.969600
11612.000000	8516.512000	0.607791	19.969231
11612.100000	8516.791000	0.606424	19.969037
11612.200000	8517.077000	0.606976	19.969448
11612.300000	8517.360000	0.606906	19.968630
11612.400000	8517.679000	0.606876	19.969860
11612.500000	8518.021000	0.607443	19.969005
11612.600000	8518.237000	0.605984	19.969420
11612.700000	8518.589000	0.605851	19.968976
11612.800000	8518.902000	0.606439	19.969515
11612.900000	8519.133000	0.606680	19.969358
11613.000000	8519.469000	0.607755	19.969532
11613.100000	8519.826000	0.608056	19.969092
11613.200000	8520.029000	0.607297	19.968706
11613.300000	8520.411000	0.606937	19.969422
11613.400000	8520.626000	0.607802	19.969605
11613.500000	8521.025000	0.607406	19.968538
11613.600000	8521.314000	0.606774	19.969421
11613.700000	8521.554000	0.606657	19.969122
11613.800000	8521.886000	0.606401	19.969282
11613.900000	8522.173000	0.606576	19.969479
11614.000000	8522.444000	0.607754	19.968860
11614.100000	8522.796000	0.606769	19.969035
11614.200000	8523.115000	0.607071	19.968822
11614.300000	8523.382000	0.606842	19.969075
11614.400000	8523.628000	0.606337	19.968920
11614.500000	8523.969000	0.607130	19.969063
11614.600000	8524.271000	0.607039	19.969098
11614.700000	8524.614000	0.607642	19.968829
11614.800000	8524.823000	0.606945	19.969241
11614.900000	8525.295000	0.606888	19.968860
11615.000000	8525.391000	0.606549	19.969390
11615.100000	8525.858000	0.606240	19.968957
11615.200000	8526.049000	0.606086	19.969331
11615.300000	8526.369000	0.606764	19.968632
11615.400000	8526.686000	0.606562	19.969002
11615.500000	8526.941000	0.606239	19.968760
11615.600000	8527.357000	0.605794	19.969031
11615.700000	8527.556000	0.606482	19.969065
11615.800000	8527.820000	0.607441	19.969219
11615.900000	8528.219000	0.607734	19.969150
11616.000000	8528.482000	0.607416	19.969019
11616.100000	8528.705000	0.607849	19.968499
11616.200000	8529.134000	0.607819	19.970188
11616.300000	8529.414000	0.606885	19.968917
11616.400000	8529.655000	0.606259	19.968909
11616.500000	8529.963000	0.607123	19.969222
11616.600000	8530.279000	0.606728	19.969353
11616.700000	8530.610000	0.606769	19.968725
11616.800000	8530.874000	0.606943	19.969385
11616.900000	8531.206000	0.606692	19.969348
11617.000000	8531.445000	0.607169	19.968973
11617.100000	8531.817000	0.607858	19.969407
11617.200000	8532.017000	0.606557	19.968684
11617.300000	8532.375000	0.607302	19.969116
11617.400000	8532.666000	0.608378	19.968679
11617.500000	8532.992000	0.607571	19.969237
11617.600000	8533.266000	0.607942	19.969337
11617.700000	8533.616000	0.608249	19.968549
11617.800000	8533.868000	0.606934	19.968998
11617.900000	8534.178000	0.607361	19.968767
11618.000000	8534.499000	0.607504	19.969431
11618.100000	8534.789000	0.607253	19.968886
11618.200000	8535.049000	0.606696	19.969452
11618.300000	8535.384000	0.607138	19.968193
11618.400000	8535.686000	0.607220	19.969597
11618.500000	8535.982000	0.607447	19.968763
11618.600000	8536.224000	0.607304	19.969654
11618.700000	8536.596000	0.608232	19.968759
11618.800000	8536.881000	0.607724	19.968578
11618.900000	8537.227000	0.606401	19.968933
11619.000000	8537.448000	0.606690	19.969325
11619.100000	8537.779000	0.606735	19.969190
11619.200000	8538.082000	0.607437	19.968757
11619.300000	8538.337000	0.606550	19.968902
11619.400000	8538.706000	0.606575	19.968799
11619.500000	8538.976000	0.606986	19.968826
11619.600000	8539.266000	0.607656	19.969157
11619.700000	8539.606000	0.606337	19.968968
11619.800000	8539.872000	0.605933	19.969020
11619.900000	8540.167000	0.607398	19.969249
11620.000000	8540.467000	0.607672	19.968732
11620.100000	8540.764000	0.607777	19.969684
11620.200000	8541.102000	0.606696	19.968735
11620.300000	8541.356000	0.607450	19.969444
11620.400000	8541.736000	0.606739	19.968839
11620.500000	8541.989000	0.605783	19.969104
