Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11745.065000	9966.749000	0.607798	19.967894
11745.066000	9966.490000	0.607857	19.955368
11745.067000	9966.776000	0.607530	19.957214
11745.068000	9966.900000	0.607118	19.963843
11745.069000	9966.829000	0.607428	19.947129
11745.070000	9967.301000	0.607076	19.959381
11745.071000	9967.168000	0.607255	19.960479
11745.072000	9967.701000	0.607257	19.966010
11745.073000	9967.976000	0.606964	19.968619
11745.074000	9967.887000	0.607441	19.958595
11745.075000	9967.860000	0.607553	19.959312
11745.076000	9968.019000	0.607623	19.962424
11745.077000	9967.607000	0.607170	19.969992
11745.078000	9967.798000	0.607613	19.961676
11745.079000	9968.034000	0.607746	19.945542
11745.080000	9968.268000	0.607362	19.944253
11745.081000	9967.551000	0.606974	19.951271
11745.082000	9968.370000	0.607746	19.942507
11745.083000	9968.568000	0.608149	19.944208
11745.084000	9968.253000	0.607799	19.942171
11745.085000	9968.455000	0.607839	19.951111
11745.086000	9968.927000	0.607950	19.953232
11745.087000	9968.175000	0.607767	19.953308
11745.088000	9968.751000	0.608053	19.954651
11745.089000	9968.315000	0.607549	19.966246
11745.090000	9968.814000	0.607631	19.959952
11745.091000	9968.885000	0.607663	19.966864
11745.092000	9969.871000	0.608395	19.958946
11745.093000	9969.405000	0.608294	19.969740
11745.094000	9969.328000	0.608378	19.970869
11745.095000	9969.428000	0.608384	19.976628
11745.096000	9970.840000	0.609360	19.954803
11745.097000	9969.959000	0.609058	19.957748
11745.098000	9969.637000	0.608643	19.971609
11745.099000	9970.127000	0.608294	19.974302
11745.100000	9970.049000	0.608169	19.967238
11745.101000	9970.125000	0.608463	19.957542
11745.102000	9970.729000	0.608656	19.955955
11745.103000	9970.671000	0.608600	19.950280
11745.104000	9971.010000	0.608655	19.947862
11745.105000	9970.726000	0.608749	19.950081
11745.106000	9970.841000	0.609024	19.941286
11745.107000	9971.099000	0.608776	19.948876
11745.108000	9971.096000	0.608477	19.952591
11745.109000	9971.123000	0.608370	19.950036
11745.110000	9971.163000	0.608264	19.942804
11745.111000	9970.992000	0.607497	19.953636
11745.112000	9971.589000	0.607641	19.958969
11745.113000	9971.361000	0.607867	19.952858
11745.114000	9971.394000	0.607295	19.964972
11745.115000	9971.419000	0.607379	19.963591
11745.116000	9971.109000	0.607975	19.956070
11745.117000	9971.993000	0.607754	19.959754
11745.118000	9971.503000	0.607550	19.974080
11745.119000	9971.897000	0.607375	19.958976
11745.120000	9972.303000	0.607262	19.953430
11745.121000	9972.152000	0.607296	19.970129
11745.122000	9972.153000	0.607880	19.963538
11745.123000	9972.761000	0.608438	19.954209
11745.124000	9973.260000	0.608424	19.958831
11745.125000	9972.968000	0.608424	19.960548
11745.126000	9973.168000	0.608540	19.961631
11745.127000	9972.867000	0.608375	19.963042
11745.128000	9973.202000	0.608538	19.951622
11745.129000	9972.618000	0.608327	19.952835
11745.130000	9973.462000	0.607973	19.952301
11745.131000	9973.189000	0.607607	19.961395
11745.132000	9972.952000	0.607938	19.957519
11745.133000	9973.392000	0.607810	19.958313
11745.134000	9973.793000	0.607784	19.960143
11745.135000	9973.779000	0.607721	19.953514
11745.136000	9974.204000	0.608058	19.949654
11745.137000	9973.246000	0.607927	19.957763
11745.138000	9973.895000	0.607586	19.959868
11745.139000	9974.586000	0.607676	19.960830
11745.140000	9974.032000	0.607490	19.960601
11745.141000	9974.049000	0.607725	19.954033
11745.142000	9974.199000	0.607492	19.959259
11745.143000	9974.449000	0.607946	19.949974
11745.144000	9974.143000	0.608504	19.950722
11745.145000	9974.970000	0.608017	19.959106
11745.146000	9975.225000	0.607931	19.948792
11745.147000	9975.032000	0.607790	19.952477
11745.148000	9974.510000	0.607918	19.960975
11745.149000	9975.023000	0.607683	19.960311
11745.150000	9974.766000	0.607772	19.951561
11745.151000	9975.323000	0.607352	19.967398
11745.152000	9975.549000	0.607875	19.957786
11745.153000	9975.194000	0.607607	19.964598
11745.154000	9975.759000	0.607694	19.960960
11745.155000	9975.838000	0.608510	19.947221
11745.156000	9975.045000	0.608320	19.959663
11745.157000	9975.653000	0.608434	19.951569
11745.158000	9975.764000	0.608119	19.950463
11745.159000	9975.948000	0.607614	19.958724
11745.160000	9976.721000	0.607391	19.959045
11745.161000	9976.406000	0.607690	19.962386
11745.162000	9976.455000	0.607745	19.965849
11745.163000	9976.760000	0.608551	19.956764
11745.164000	9977.637000	0.608543	19.958831
11745.165000	9977.303000	0.608278	19.965651
11745.166000	9976.888000	0.608477	19.956718
11745.167000	9976.911000	0.608271	19.958358
11745.168000	9977.402000	0.607772	19.963111
11745.169000	9977.608000	0.607489	19.961974
11745.170000	9977.435000	0.607365	19.948983
11745.171000	9977.421000	0.606771	19.957267
11745.172000	9977.197000	0.606854	19.950234
11745.173000	9977.445000	0.607454	19.939722
11745.174000	9977.979000	0.607278	19.954811
11745.175000	9977.620000	0.607099	19.956604
11745.176000	9977.623000	0.607007	19.951134
11745.177000	9977.367000	0.606642	19.955322
11745.178000	9977.707000	0.606468	19.954552
11745.179000	9977.838000	0.606520	19.959930
11745.180000	9977.898000	0.606189	19.959510
11745.181000	9977.747000	0.606309	19.956329
11745.182000	9977.770000	0.606925	19.944497
11745.183000	9978.376000	0.606913	19.955307
11745.184000	9978.535000	0.606838	19.965964
11745.185000	9979.011000	0.607107	19.964743
11745.186000	9978.474000	0.607204	19.967016
11745.187000	9978.509000	0.607495	19.956871
11745.188000	9979.122000	0.607431	19.959999
11745.189000	9979.439000	0.607760	19.961524
11745.190000	9979.334000	0.607752	19.962432
11745.191000	9979.491000	0.607880	19.956169
11745.192000	9979.364000	0.607862	19.961348
11745.193000	9979.629000	0.608176	19.962920
11745.194000	9979.942000	0.608489	19.960136
11745.195000	9980.412000	0.608810	19.953735
11745.196000	9979.922000	0.608213	19.952927
11745.197000	9980.128000	0.608193	19.955826
11745.198000	9980.316000	0.607831	19.960227
11745.199000	9980.292000	0.607007	19.967482
11745.200000	9979.893000	0.607413	19.954025
11745.201000	9979.733000	0.607559	19.953697
11745.202000	9980.222000	0.607657	19.956177
11745.203000	9980.294000	0.607485	19.957313
11745.204000	9979.920000	0.607608	19.949219
11745.205000	9980.561000	0.607408	19.949799
11745.206000	9980.619000	0.606748	19.968023
11745.207000	9980.504000	0.607413	19.955612
11745.208000	9980.751000	0.607209	19.961310
11745.209000	9981.050000	0.607565	19.953758
11745.210000	9980.963000	0.607941	19.947854
11745.211000	9981.098000	0.607835	19.954102
11745.212000	9980.888000	0.608868	19.951004
11745.213000	9981.524000	0.608615	19.964263
11745.214000	9981.472000	0.608725	19.955391
11745.215000	9982.007000	0.608690	19.961440
11745.216000	9982.196000	0.608780	19.965849
11745.217000	9982.593000	0.608718	19.959777
11745.218000	9982.726000	0.608522	19.959838
11745.219000	9981.889000	0.608635	19.960502
11745.220000	9982.299000	0.608241	19.972532
11745.221000	9982.042000	0.608947	19.955871
11745.222000	9982.241000	0.608667	19.956672
11745.223000	9982.876000	0.608608	19.955635
11745.224000	9982.837000	0.608176	19.956459
11745.225000	9982.914000	0.607682	19.969023
11745.226000	9983.619000	0.608001	19.961860
11745.227000	9983.508000	0.608132	19.958007
11745.228000	9983.308000	0.607674	19.965468
11745.229000	9982.941000	0.607534	19.959983
11745.230000	9983.084000	0.607495	19.955139
11745.231000	9983.127000	0.607455	19.953362
11745.232000	9983.555000	0.607194	19.956329
11745.233000	9983.730000	0.607172	19.945542
11745.234000	9983.639000	0.607446	19.947350
11745.235000	9983.709000	0.606747	19.960670
11745.236000	9983.437000	0.606894	19.956886
11745.237000	9983.634000	0.607156	19.947549
11745.238000	9984.103000	0.606791	19.957313
11745.239000	9983.599000	0.606348	19.964468
11745.240000	9984.085000	0.606055	19.961043
11745.241000	9984.055000	0.606634	19.959571
11745.242000	9984.154000	0.607089	19.953850
11745.243000	9984.545000	0.607617	19.950066
11745.244000	9984.641000	0.607780	19.954178
11745.245000	9984.343000	0.607744	19.953705
11745.246000	9985.174000	0.607718	19.961211
11745.247000	9985.562000	0.607750	19.963172
11745.248000	9984.887000	0.607997	19.953476
11745.249000	9984.726000	0.607708	19.957153
11745.250000	9985.299000	0.607482	19.960059
11745.251000	9985.168000	0.607709	19.959777
11745.252000	9985.295000	0.607766	19.964865
11745.253000	9986.191000	0.608096	19.953728
11745.254000	9985.974000	0.607726	19.964713
11745.255000	9985.774000	0.607652	19.959464
11745.256000	9985.615000	0.608000	19.956741
11745.257000	9986.050000	0.608223	19.948136
11745.258000	9985.845000	0.607301	19.960883
11745.259000	9986.384000	0.607573	19.950966
11745.260000	9985.980000	0.607122	19.959235
11745.261000	9985.995000	0.606877	19.958884
11745.262000	9986.277000	0.607743	19.944909
11745.263000	9986.282000	0.608161	19.949326
11745.264000	9986.515000	0.607838	19.953293
11745.265000	9985.569000	0.607557	19.958114
11745.266000	9986.843000	0.607591	19.953865
11745.267000	9987.367000	0.608059	19.949357
11745.268000	9986.938000	0.608649	19.941583
11745.269000	9986.536000	0.607789	19.955970
11745.270000	9986.867000	0.607599	19.958740
11745.271000	9987.035000	0.607849	19.961592
11745.272000	9987.404000	0.608531	19.962554
11745.273000	9987.322000	0.608731	19.961822
11745.274000	9987.384000	0.608068	19.969931
11745.275000	9987.697000	0.608082	19.968351
11745.276000	9988.034000	0.608845	19.959441
11745.277000	9988.221000	0.608650	19.964873
11745.278000	9988.145000	0.608202	19.972204
11745.279000	9988.066000	0.607934	19.974096
11745.280000	9988.645000	0.608487	19.967871
11745.281000	9988.790000	0.608361	19.973333
11745.282000	9988.743000	0.608849	19.953842
11745.283000	9988.238000	0.608925	19.961768
11745.284000	9988.217000	0.608609	19.963835
11745.285000	9988.760000	0.608890	19.954010
11745.286000	9989.501000	0.608745	19.953499
11745.287000	9988.724000	0.608649	19.944604
11745.288000	9988.434000	0.607998	19.943986
11745.289000	9989.084000	0.607788	19.949067
11745.290000	9989.269000	0.607611	19.952354
11745.291000	9988.939000	0.607880	19.947060
11745.292000	9989.355000	0.607781	19.950821
11745.293000	9989.668000	0.607919	19.946282
11745.294000	9989.853000	0.607604	19.956001
