Time(s)	Displ(microns)	Friction	Effective_Normal_stress(MPa)
11745.633000	9983.126742	0.608176	19.964652
11745.634000	9983.410592	0.608355	19.960845
11745.635000	9983.393488	0.608673	19.960868
11745.636000	9983.070890	0.608664	19.957977
11745.637000	9983.480753	0.608694	19.959540
11745.638000	9983.455255	0.608815	19.951370
11745.639000	9983.681310	0.609511	19.946366
11745.640000	9983.620056	0.609363	19.936495
11745.641000	9983.680740	0.609062	19.946496
11745.642000	9984.135820	0.609671	19.944353
11745.643000	9983.926655	0.610085	19.944223
11745.644000	9984.531080	0.609313	19.950471
11745.645000	9983.944126	0.608772	19.963225
11745.646000	9985.029709	0.609586	19.950630
11745.647000	9984.993719	0.609575	19.948007
11745.648000	9984.333390	0.609314	19.956230
11745.649000	9984.771854	0.608663	19.960502
11745.650000	9984.715744	0.608467	19.957595
11745.651000	9984.504492	0.608387	19.961326
11745.652000	9985.214352	0.608871	19.957901
11745.653000	9985.042843	0.608672	19.961226
11745.654000	9984.721587	0.608253	19.972105
11745.655000	9985.986427	0.608568	19.967314
11745.656000	9985.996957	0.608373	19.971449
11745.657000	9985.435895	0.608299	19.974927
11745.658000	9985.465728	0.607875	19.972570
11745.659000	9985.669263	0.608022	19.971418
11745.660000	9986.192647	0.608870	19.948380
11745.661000	9986.130586	0.608434	19.965178
11745.662000	9986.489394	0.608518	19.960059
11745.663000	9986.730923	0.608660	19.952148
11745.664000	9986.586338	0.608515	19.954719
11745.665000	9986.449660	0.608773	19.952545
11745.666000	9986.835489	0.609186	19.945054
11745.667000	9986.957074	0.608367	19.948319
11745.668000	9987.286472	0.608037	19.951020
11745.669000	9986.365863	0.607716	19.946954
11745.670000	9986.958175	0.607361	19.953011
11745.671000	9987.413288	0.607505	19.947739
11745.672000	9987.231288	0.607857	19.949562
11745.673000	9986.664807	0.607630	19.957252
11745.674000	9987.011240	0.607745	19.955734
11745.675000	9987.813237	0.607178	19.957489
11745.676000	9987.455420	0.607654	19.947724
11745.677000	9987.937484	0.607551	19.952072
11745.678000	9987.836934	0.607249	19.956795
11745.679000	9987.326176	0.606494	19.968611
11745.680000	9987.352719	0.606898	19.967947
11745.681000	9987.613321	0.607877	19.943925
11745.682000	9988.493587	0.607668	19.950180
11745.683000	9988.576841	0.607375	19.961165
11745.684000	9988.669213	0.607608	19.959281
11745.685000	9988.941291	0.607506	19.964560
11745.686000	9988.376397	0.607773	19.960708
11745.687000	9988.487908	0.607836	19.963828
11745.688000	9988.821592	0.607995	19.958755
11745.689000	9989.016025	0.607756	19.956001
11745.690000	9989.376071	0.606998	19.962027
11745.691000	9989.417470	0.606994	19.969412
11745.692000	9989.589708	0.607147	19.961761
11745.693000	9989.516572	0.607325	19.958961
11745.694000	9989.507369	0.607379	19.957283
11745.695000	9989.720912	0.607737	19.957672
11745.696000	9989.357754	0.607317	19.964583
11745.697000	9989.732523	0.606851	19.963141
11745.698000	9989.928190	0.606869	19.958251
11745.699000	9990.156628	0.606573	19.962310
11745.700000	9990.011222	0.606787	19.954475
11745.701000	9989.510429	0.606488	19.955253
11745.702000	9989.776385	0.606807	19.952233
11745.703000	9990.199202	0.607374	19.940652
11745.704000	9989.779326	0.607638	19.942857
11745.705000	9990.229526	0.607151	19.955772
11745.706000	9990.435192	0.607415	19.942278
11745.707000	9990.669706	0.607606	19.944703
11745.708000	9990.991543	0.607583	19.947526
11745.709000	9990.622135	0.607247	19.954300
11745.710000	9990.973695	0.607522	19.948953
11745.711000	9991.072950	0.607347	19.956558
11745.712000	9991.426037	0.608218	19.953705
11745.713000	9990.625418	0.608800	19.949792
11745.714000	9992.115225	0.608414	19.959075
11745.715000	9992.235550	0.608316	19.971555
11745.716000	9991.083095	0.608232	19.961150
11745.717000	9991.761367	0.608604	19.955749
11745.718000	9991.789356	0.608020	19.963034
11745.719000	9991.660582	0.607977	19.962348
11745.720000	9991.755685	0.607437	19.968138
11745.721000	9991.107353	0.607169	19.973630
11745.722000	9991.986895	0.607453	19.962531
11745.723000	9991.791992	0.607598	19.966170
11745.724000	9993.024428	0.607844	19.964789
11745.725000	9992.673575	0.607966	19.954788
11745.726000	9992.273295	0.607746	19.960151
11745.727000	9992.404032	0.608108	19.951859
11745.728000	9992.320857	0.608544	19.954003
11745.729000	9992.708902	0.608283	19.956100
11745.730000	9992.762593	0.607867	19.964461
11745.731000	9992.779363	0.608376	19.945398
11745.732000	9993.149401	0.608039	19.956421
11745.733000	9993.794702	0.608328	19.956710
11745.734000	9993.219799	0.608257	19.968901
11745.735000	9993.403908	0.608854	19.958183
11745.736000	9993.286801	0.609126	19.955742
11745.737000	9993.356758	0.608936	19.957069
11745.738000	9993.966404	0.608955	19.956604
11745.739000	9993.826397	0.608955	19.948701
11745.740000	9993.973119	0.608378	19.955368
11745.741000	9993.592961	0.608007	19.961158
11745.742000	9994.225092	0.608858	19.951539
11745.743000	9994.624390	0.608866	19.958045
11745.744000	9994.283238	0.608498	19.956802
11745.745000	9994.286300	0.608561	19.952744
11745.746000	9994.440367	0.608318	19.965643
11745.747000	9995.157877	0.608567	19.960670
11745.748000	9995.121389	0.608456	19.956642
11745.749000	9995.555078	0.608161	19.958549
11745.750000	9995.328259	0.607703	19.964072
11745.751000	9995.352195	0.607624	19.966177
11745.752000	9995.579306	0.608209	19.957336
11745.753000	9995.530193	0.608346	19.954384
11745.754000	9995.770710	0.608110	19.958900
11745.755000	9995.613315	0.607702	19.956131
11745.756000	9995.731411	0.607562	19.955734
11745.757000	9995.523512	0.607467	19.958282
11745.758000	9995.711241	0.606891	19.958000
11745.759000	9995.953103	0.606415	19.961310
11745.760000	9995.335727	0.606281	19.956451
11745.761000	9995.668079	0.606239	19.955177
11745.762000	9996.446820	0.606464	19.954353
11745.763000	9996.274484	0.606635	19.955856
11745.764000	9996.213444	0.606879	19.959274
11745.765000	9996.251636	0.607086	19.953857
11745.766000	9996.879562	0.607146	19.954902
11745.767000	9996.248644	0.607544	19.947770
11745.768000	9996.705463	0.607774	19.950203
11745.769000	9996.030161	0.607564	19.944871
11745.770000	9996.847131	0.607135	19.953987
11745.771000	9996.661912	0.607429	19.954369
11745.772000	9996.828366	0.607867	19.951668
11745.773000	9996.529180	0.607880	19.955818
11745.774000	9997.162932	0.607538	19.957725
11745.775000	9997.299345	0.608252	19.957908
11745.776000	9997.124404	0.608979	19.955818
11745.777000	9997.787546	0.608550	19.958907
11745.778000	9997.808568	0.608117	19.969656
11745.779000	9997.894392	0.608259	19.967047
11745.780000	9997.197576	0.608419	19.968161
11745.781000	9997.451726	0.608645	19.959686
11745.782000	9998.790754	0.608557	19.964545
11745.783000	9998.671068	0.608942	19.963134
11745.784000	9998.780567	0.609274	19.957954
11745.785000	9998.863223	0.609131	19.960349
11745.786000	9998.887216	0.608696	19.967184
11745.787000	9998.672499	0.609154	19.969831
11745.788000	9998.681502	0.609146	19.960693
11745.789000	9999.768685	0.608674	19.954788
11745.790000	9999.339502	0.608050	19.968909
11745.791000	9998.815173	0.607838	19.962134
11745.792000	9999.553536	0.608423	19.953186
11745.793000	9999.494386	0.608104	19.951828
11745.794000	9999.644984	0.607954	19.946549
11745.795000	9999.600001	0.607909	19.952477
11745.796000	9999.567540	0.607786	19.950791
11745.797000	9999.888990	0.607332	19.945123
11745.798000	9999.356128	0.607414	19.941873
11745.799000	9999.623537	0.607375	19.947411
11745.800000	10000.229792	0.606952	19.949273
11745.801000	9999.872991	0.606549	19.945520
11745.802000	10000.085100	0.607043	19.951569
11745.803000	10000.585281	0.606843	19.962043
11745.804000	9999.618409	0.607022	19.957573
11745.805000	9999.729708	0.606990	19.953011
11745.806000	10000.105788	0.607087	19.967680
11745.807000	10000.710234	0.607307	19.964178
11745.808000	10000.048126	0.607019	19.966773
11745.809000	10001.061816	0.606791	19.966963
11745.810000	10001.242589	0.606764	19.968954
11745.811000	10000.677381	0.607887	19.953980
11745.812000	10001.214948	0.608326	19.963607
11745.813000	10001.331300	0.608453	19.970144
11745.814000	10001.336399	0.608480	19.952851
11745.815000	10001.907968	0.608691	19.959052
11745.816000	10001.245409	0.609297	19.950349
11745.817000	10001.343460	0.608788	19.954140
11745.818000	10001.600214	0.608515	19.956756
11745.819000	10000.974149	0.608436	19.957893
11745.820000	10001.958963	0.608066	19.960731
11745.821000	10002.206984	0.607954	19.959411
11745.822000	10001.904182	0.608291	19.957679
11745.823000	10001.715257	0.608775	19.954170
11745.824000	10002.203838	0.608320	19.967802
11745.825000	10002.140844	0.609132	19.947137
11745.826000	10002.952002	0.608738	19.967390
11745.827000	10002.885212	0.609072	19.963751
11745.828000	10003.101343	0.608669	19.954620
11745.829000	10003.143356	0.608394	19.964118
11745.830000	10003.060067	0.608502	19.962699
11745.831000	10003.217883	0.608944	19.954254
11745.832000	10003.092825	0.608429	19.963736
11745.833000	10003.216285	0.608433	19.968817
11745.834000	10003.454836	0.608428	19.961776
11745.835000	10003.760246	0.608361	19.955360
11745.836000	10003.191319	0.608256	19.956291
11745.837000	10004.156792	0.608111	19.951874
11745.838000	10004.030625	0.608193	19.946809
11745.839000	10003.792656	0.607924	19.948663
11745.840000	10003.254478	0.607988	19.945664
11745.841000	10003.780455	0.607608	19.947251
11745.842000	10004.169064	0.607455	19.953949
11745.843000	10003.774358	0.607598	19.951599
11745.844000	10003.373916	0.607594	19.952912
11745.845000	10003.750453	0.607673	19.956024
11745.846000	10004.171989	0.607145	19.964667
11745.847000	10004.738028	0.607729	19.960830
11745.848000	10004.346354	0.607836	19.966589
11745.849000	10004.590364	0.607589	19.972234
11745.850000	10004.773870	0.607523	19.974126
11745.851000	10005.135873	0.608484	19.972822
11745.852000	10005.388740	0.609132	19.971922
11745.853000	10005.306678	0.608597	19.976636
11745.854000	10005.606981	0.609170	19.957702
11745.855000	10005.698346	0.609050	19.972837
11745.856000	10006.192349	0.609605	19.958114
11745.857000	10005.991139	0.609126	19.964995
11745.858000	10005.995410	0.608840	19.953438
11745.859000	10006.379834	0.609097	19.951233
11745.860000	10005.858229	0.608843	19.948991
11745.861000	10006.153388	0.608501	19.953659
11745.862000	10006.282169	0.608576	19.948335
11745.863000	10006.461287	0.608361	19.945421
11745.864000	10005.633921	0.608383	19.946389
11745.865000	10006.768595	0.608078	19.946130
11745.866000	10006.310986	0.608079	19.943437
11745.867000	10006.580995	0.607939	19.945039
11745.868000	10006.681342	0.607833	19.940912
11745.869000	10007.205800	0.607668	19.948090
11745.870000	10006.840025	0.607799	19.941194
11745.871000	10006.890407	0.607482	19.953377
11745.872000	10006.999219	0.608022	19.951615
11745.873000	10007.057470	0.608193	19.943903
11745.874000	10007.475136	0.607995	19.958007
11745.875000	10007.604441	0.607459	19.977460
11745.876000	10007.637015	0.608318	19.953430
11745.877000	10008.068311	0.607563	19.970136
11745.878000	10007.104506	0.607147	19.976262
